artist, popularity
kurt stenzel,13.0
justin bieber,90.0
jamie woon,44.0
anna von hausswolff,37.0
nef the pharaoh,45.0
wreckless eric,32.0
the pains of being pure at heart,42.0
alessia cara,75.0
cool uncle,0.0
jeff lynne's elo,43.0
escort,31.0
kurt cobain,51.0
le1f,24.0
talib kweli,55.0
9th wonder,55.0
john luther adams,18.0
pinkish black,11.0
rustie,32.0
puff daddy,71.0
kate boy,24.0
connan mockasin,51.0
devont hynes,42.0
corrections house,3.0
trust fund,67.0
white widows pact,0.0
oneohtrix point never,47.0
bjrk,64.0
pc worship,10.0
special request,34.0
the necks,19.0
amy winehouse,78.0
kirk knight,46.0
foxing,44.0
ellie goulding,80.0
carla morrison,72.0
julien baker,67.0
fuzz,37.0
joshua abrams,2.0
white out,0.0
ted hearne,6.0
boots,67.0
wolf eyes,15.0
laura stevenson,32.0
el vy,31.0
pictureplane,30.0
tropic of cancer,21.0
sun city girls,26.0
j.i.t.u. ahn-sahm-buhl,0.0
john renbourn,29.0
eartheater,50.0
basic soul unit,4.0
yautja,16.0
madlib,67.0
m.e.d.,2.0
christine and the queens,57.0
dave gahan,40.0
soulsavers,37.0
rabit,54.0
long beard,26.0
built to spill,49.0
vhl,59.0
luke vibert,34.0
philip jeck,11.0
martin courtney,22.0
shining,33.0
karamika,0.0
!!!,79.0
vanessa carlton,65.0
franoise hardy,59.0
g herbo,69.0
dan friel,2.0
the promise ring,33.0
gun outfit,9.0
wax idols,9.0
joanna newsom,37.0
dj firmeza,9.0
cult leader,23.0
beach house,74.0
yacht,79.0
raury,48.0
zombi,59.0
sexwitch,13.0
the edge of daybreak,23.0
kowloon walled city,23.0
neon indian,47.0
doughboyz cashout,38.0
milo,83.0
st germain,53.0
windhand,38.0
dj spinn,30.0
the mantles,10.0
mga,75.0
deerhunter,45.0
drive-by truckers,51.0
kylesa,33.0
clutch,54.0
cooly g,14.0
dilly dally,29.0
cara stacey,0.0
visionist,6.0
the decemberists,54.0
alex g,77.0
young dro,53.0
protomartyr,40.0
christian scott,38.0
shopping,22.0
donato dozzy,33.0
eagles of death metal,53.0
paul mccartney,72.0
ryan hemsworth,39.0
lucas,71.0
co la,2.0
wavves,44.0
autre ne veut,21.0
girl band,30.0
nicole dollanganger,48.0
larry gus,12.0
battles,34.0
childbirth,21.0
moscow club,0.0
deafheaven,49.0
big grams,31.0
jay rock,74.0
mercury rev,43.0
drew mcdowall,15.0
graveyard,44.0
doe paoro,43.0
the dead weather,45.0
peaches,47.0
wand,41.0
ron morelli,8.0
sarah kirkland snider,13.0
chvrches,62.0
casey veggies,55.0
the world is a beautiful place & i am no longer afraid to die,37.0
chevel,65.0
mariah,79.0
juicy j,74.0
t.i.,76.0
des ark,9.0
micachu and the shapes,24.0
u.s. girls,38.0
king midas sound,11.0
jawbox,31.0
destruction unit,10.0
kurt vile,54.0
new order,66.0
natasha kmeto,16.0
botany,31.0
lana del rey,91.0
the arcs,46.0
max richter,73.0
sam binga,35.0
donmonique,15.0
julia holter,37.0
the roadside graves,4.0
dit,40.0
youth lagoon,51.0
